Município;Regiao_saude;Ovitrampas_previstas;Instalacoes_previstas;Instalacoes_quad;Instalacoes_mes
Água Quente (RA XXXV);Sudoeste;33;1716;572;143
Águas Claras (RA XX);Sudoeste;58;3016;1005;251
Arapoanga (RA XXXIV);Norte;79;4108;1369;342
Arniqueiras (RA XXXIII);Sudoeste;80;4160;1387;347
Brazlândia (RA IV);Oeste;71;3692;1231;308
Candangolândia (RA XIX);Centro-Sul;19;988;329;82
Ceilândia (RA IX);Oeste;316;16432;5477;1369
Cruzeiro (RA XI);Central;30;1560;520;130
Fercal (RA XXXI);Norte;46;2392;797;199
Gama (RA II);Sul;298;15496;5165;1291
Guará (RA X);Centro-Sul;272;14144;4715;1179
Itapoã (RA XXVIII);Leste;89;4628;1543;386
Jardim Botânico (RA XXVII);Leste;243;12636;4212;1053
Lago Norte (RA XVIII);Central;243;12636;4212;1053
Lago Sul (RA XVI);Central;390;20280;6760;1690
Núcleo Bandeirante (RA VIII);Centro-Sul;44;2288;763;191
Paranoá (RA VII);Leste;51;2652;884;221
Park Way (RA XXIV);Centro-Sul;312;16224;5408;1352
Planaltina (RA VI);Norte;209;10868;3623;906
Plano Piloto (RA I);Central;399;20748;6916;1729
Recanto das Emas (RA XV);Sudoeste;134;6968;2323;581
Riacho Fundo (RA XVII);Centro-Sul;43;2236;745;186
Riacho Fundo II (RA XXI);Centro-Sul;81;4212;1404;351
Samambaia (RA XII);Sudoeste;263;13676;4559;1140
Santa Maria (RA XIII);Sul;183;9516;3172;793
São Sebastião (RA XIV);Leste;147;7644;2548;637
SCIA/Estrutural (RA XXV);Centro-Sul;52;2704;901;225
SIA (RA XXIX);Centro-Sul;65;3380;1127;282
Sobradinho (RA V);Norte;217;11284;3761;940
Sobradinho II (RA XXVI);Norte;175;9100;3033;758
Sol Nascente e Pôr do Sol (RA XXXII);Oeste;150;7800;2600;650
Sudoeste/Octogonal (RA XXII);Central;54;2808;936;234
Taguatinga (RA III);Sudoeste;291;15132;5044;1261
Varjão (RA XXIII);Central;10;520;173;43
Vicente Pires (RA XXX);Sudoeste;209;10868;3623;906
