Ciclo;CRS;Município;Código do IBGE;Ano;Número da armadilha;Ovos;Link;Resultado;Semana;data
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;5;48;Água Quente (RA XXXV)_05;Positiva;1;05/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;5;38;Água Quente (RA XXXV)_05;Positiva;2;12/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;5;23;Água Quente (RA XXXV)_05;Positiva;3;19/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;5;13;Água Quente (RA XXXV)_05;Positiva;4;29/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;1;0;Água Quente (RA XXXV)_01;Negativa;1;05/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;1;2;Água Quente (RA XXXV)_01;Positiva;2;12/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;1;0;Água Quente (RA XXXV)_01;Negativa;3;19/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;1;0;Água Quente (RA XXXV)_01;Negativa;4;29/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;6;21;Água Quente (RA XXXV)_06;Positiva;1;05/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;6;26;Água Quente (RA XXXV)_06;Positiva;2;12/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;6;38;Água Quente (RA XXXV)_06;Positiva;3;19/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;6;18;Água Quente (RA XXXV)_06;Positiva;4;29/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;2;64;Água Quente (RA XXXV)_02;Positiva;1;05/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;2;71;Água Quente (RA XXXV)_02;Positiva;2;12/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;2;66;Água Quente (RA XXXV)_02;Positiva;3;19/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;2;73;Água Quente (RA XXXV)_02;Positiva;4;29/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;7;56;Água Quente (RA XXXV)_07;Positiva;1;05/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;7;98;Água Quente (RA XXXV)_07;Positiva;2;12/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;7;100;Água Quente (RA XXXV)_07;Positiva;3;19/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;7;78;Água Quente (RA XXXV)_07;Positiva;4;29/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;8;0;Água Quente (RA XXXV)_08;Negativa;1;05/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;8;9;Água Quente (RA XXXV)_08;Positiva;2;12/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;8;0;Água Quente (RA XXXV)_08;Negativa;3;19/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;8;0;Água Quente (RA XXXV)_08;Negativa;4;29/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;3;102;Água Quente (RA XXXV)_03;Positiva;1;05/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;3;52;Água Quente (RA XXXV)_03;Positiva;2;12/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;3;47;Água Quente (RA XXXV)_03;Positiva;3;19/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;3;41;Água Quente (RA XXXV)_03;Positiva;4;29/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;26;0;Água Quente (RA XXXV)_26;Negativa;1;05/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;26;161;Água Quente (RA XXXV)_26;Positiva;2;12/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;26;131;Água Quente (RA XXXV)_26;Positiva;3;19/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;26;103;Água Quente (RA XXXV)_26;Positiva;4;29/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;27;7;Água Quente (RA XXXV)_27;Positiva;1;05/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;27;0;Água Quente (RA XXXV)_27;Negativa;2;12/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;27;0;Água Quente (RA XXXV)_27;Negativa;3;19/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;27;3;Água Quente (RA XXXV)_27;Positiva;4;29/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;28;52;Água Quente (RA XXXV)_28;Positiva;1;05/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;28;1;Água Quente (RA XXXV)_28;Positiva;2;12/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;28;0;Água Quente (RA XXXV)_28;Negativa;3;19/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;28;0;Água Quente (RA XXXV)_28;Negativa;4;29/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;16;9;Água Quente (RA XXXV)_16;Positiva;1;05/01/2026
Janeiro;;Água Quente (RA XXXV);5300108-ra-xxxv;2026;16;10;Água Quente (RA XXXV)_16;Positiva;2;12/01/2026
